Desktop File Name	Name	Generic Name	Comments	Command	Terminal/UI	Display	Show	MIME Types	Categories	Keywords
xfce-ui-settings.desktop	Appearance		Customize the look of your desktop	"xfce4-appearance-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-PersonalSettings	themes, user interface, styles, icons, fonts, anti-aliasing, hinting, sub-pixel, subpixel, rendering, ClearType, DPI, RGB, BGR, menu accelerators, keyboard shortcuts, event, sounds, window scaling, HiDPI, Retina display
kcm_audiocd.desktop	Audio CDs			"systemsettings kcm_audiocd"	UI	NoDisplay	Shown			
compiz.desktop	Compiz			"compiz ccp"	UI	NoDisplay	Shown			
org.kde.kiriki.desktop	Kiriki	Yahtzee-like Dice Game		"kiriki -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, BoardGame	
xfce-session-settings.desktop	Session and Startup		Customize desktop startup	"xfce4-session-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-SystemSettings	session, settings, preferences, manager, startup, login, logout, shutdown, lock screen, application, autostart, launch, services, daemon, agent
org.kde.kwalletd5.desktop	KDE Wallet Service			"kwalletd5"	UI	NoDisplay	Shown			
xboard-tourney.desktop	Xboard	X-windows chess board	Resume XBoard chess tourney	"xboard -mm -tf %f"	UI	NoDisplay	Shown	application/x-xboard-trn	Game, BoardGame	
org.kde.kmail2.desktop	KMail	Mail Client	Send, receive and manage your mail with KMail	"kmail -qwindowtitle %c %u"	UI	OnDisplay	Shown	x-scheme-handler/mailto	Qt, KDE, Office, Network, Email	
org.kde.juk.desktop	JuK	Music Player		"juk %U"	UI	OnDisplay	Shown		Qt, KDE, AudioVideo, Player	
org.kde.kgoldrunner.desktop	KGoldrunner	Hunt Gold, Dodge Enemies and Solve Puzzles	A game of action and puzzle-solving	"kgoldrunner"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
kcm_activities.desktop	Activities			"systemsettings kcm_activities"	UI	NoDisplay	Shown			
org.kde.mobile.okular_tiff.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	image/tiff	Qt, KDE, Graphics, Office, Viewer	
org.kde.mobile.okular_dvi.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/x-dvi, application/x-gzdvi, application/x-bzdvi	Qt, KDE, Graphics, Office, Viewer	
org.kde.plasma.emojier.desktop	Emoji Selector			"plasma-emojier"	UI	OnDisplay	Shown		Qt, KDE, Utility	characters, unicode, punctuation, letters, emoji, emoticon, symbols, smiley face
kcm_componentchooser.desktop	Default Applications			"systemsettings kcm_componentchooser"	UI	NoDisplay	Shown			
org.kde.kspaceduel.desktop	KSpaceDuel	Space Arcade Game		"kspaceduel -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
kcm_tablet.desktop	Drawing Tablet			"systemsettings kcm_tablet"	UI	NoDisplay	Shown			
xsane.desktop	XSane	Scanner Tool	Acquire images from a scanner	"xsane"	UI	OnDisplay	Shown		Graphics, 2DGraphics, RasterGraphics, Scanning, GTK	
xfce4-run.desktop	Run Program...		Enter a command you want to launch	"xfce4-appfinder --collapsed"	UI	OnDisplay	Shown		Utility, X-XFCE, X-Xfce-Toplevel	run, command, application, program, finder, search, launcher, everything, spotlight, sherlock, applesearch, unity dash, krunner, synapse, ulauncher, launchy, gnome do, pie, apwal, recoll, alfred, quicksilver, tracker, beagle, kupfer
org.kde.kdevelop.desktop	KDevelop	Integrated Development Environment		"kdevelop"	UI	OnDisplay	Shown		Qt, KDE, Development, IDE	
kcm_recentFiles.desktop	Recent Files			"systemsettings kcm_recentFiles"	UI	NoDisplay	Shown			
xfce4-mime-settings.desktop	Default Applications		Associate preferred applications with MIME types	"xfce4-mime-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-SystemSettings	file, type, extension, association, open with, web browser, mail reader, file manager, terminal emulator
xfce-wmtweaks-settings.desktop	Window Manager Tweaks		Fine-tune window behaviour and effects	"xfwm4-tweaks-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-PersonalSettings	windows, behavior, settings, preferences, cycling, cycle, switching, focus, raises, accessibility, key, dragging, move, moving, hide, frame, title bar, maximized, tile, screen, edge, hot corner, snapping, mouse wheel, roll up, workspaces, placement, compositor, compositing, enable, disable, shadows, decorations, opacity, resize, inactive, preview, compiz, transitions
zenmap-root.desktop	Zenmap (as root)	GUI Port Scanner	A cross-platform GUI for the Nmap Security Scanner.	"/usr/share/zenmap/su-to-zenmap.sh %F"	UI	OnDisplay	Shown		Application, Network, Security	network, scan, scanner, IP, security
kleopatra_import.desktop	Kleopatra		Certificate Manager and Unified Crypto GUI	"kleopatra --import-certificate -- %F"	UI	NoDisplay	Shown	application/pkcs7-mime, application/x-x509-ca-cert, application/x-pkcs12, application/pgp-keys, application/vnd.kde.kleopatra.keygroup	Qt, KDE, Utility, X-KDE-Utilities-PIM	
korganizer-import.desktop	KOrganizer	Personal Organizer	Calendar and Scheduling Program	"korganizer --import %U"	UI	NoDisplay	Shown			
ibus-setup-table.desktop	IBus Table Setup		Set ibus-table preferences	"/usr/libexec/ibus-setup-table"	UI	NoDisplay	Shown			
org.kde.kjumpingcube.desktop	KJumpingCube	Territory Capture Game	Territory Capture Game	"kjumpingcube -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, StrategyGame	
cmake-gui.desktop	CMake		Cross-platform buildsystem	"cmake-gui %f"	UI	OnDisplay	Shown	application/x-cmakecache	Development, Building	
kcm_kwinoptions.desktop	Window Behavior			"systemsettings kcm_kwinoptions"	UI	NoDisplay	Shown			
kcm_trash.desktop	Trash			"kcmshell5 kcm_trash"	UI	NoDisplay	Shown			
gtk3-icon-browser.desktop	Icon Browser		An application that shows themed icons	"gtk3-icon-browser"	UI	NoDisplay	Shown		Development, GTK	
org.kde.skanlite.desktop	Skanlite	Image Scanning Application	Scan and save images	"skanlite"	UI	OnDisplay	Shown		Qt, KDE, Graphics, Scanning	
vncviewer.desktop	TigerVNC Viewer	Remote Desktop Viewer	Connect to VNC server and display remote desktop	"/usr/bin/vncviewer"	UI	OnDisplay	Shown		Network, RemoteAccess	
org.kde.kmix.desktop	KMix	Sound Mixer	Control sound volumes	"kmix -qwindowtitle "%c" %i"	UI	OnDisplay	Shown		Qt, KDE, AudioVideo, Audio, Mixer	
org.kde.kmenuedit.desktop	Menu Editor		Edit how applications are presented in app launchers	"kmenuedit"	UI	OnDisplay	Shown		Qt, KDE, System	
xfce4-taskmanager.desktop	Task Manager	Task Manager	Easy to use application to monitor system resources	"xfce4-taskmanager"	UI	OnDisplay	Shown		System, Utility	
org.kde.bomber.desktop	Bomber	Arcade Bombing Game		"bomber -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
